"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1248","Cancel checkout returns to cart page","","Wed Mar 25 19:48:43 UTC 2026","passed","Wed Mar 25 19:48:44 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","cancelCheckoutReturnsToCart"
"","1415","Incomplete form shows validation error Incomplete form shows validation error [3] — Error: Postal Code is required","","Wed Mar 25 19:48:49 UTC 2026","passed","Wed Mar 25 19:48:50 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","incompleteFormShowsValidationError"
"","1170","Proceed to checkout navigates to info page","","Wed Mar 25 19:48:33 UTC 2026","passed","Wed Mar 25 19:48:34 UTC 2026","","Cart Tests","com.automation.selenide.tests.CartTest","proceedToCheckoutNavigatesToInfoPage"
"","1076","Cart page has correct title","","Wed Mar 25 19:48:36 UTC 2026","passed","Wed Mar 25 19:48:37 UTC 2026","","Cart Tests","com.automation.selenide.tests.CartTest","cartPageHasCorrectTitle"
"","1141","Cart badge not displayed initially","","Wed Mar 25 19:48:24 UTC 2026","passed","Wed Mar 25 19:48:25 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","cartBadgeNotDisplayedInitially"
"","1080","Invalid login shows error message Invalid login shows error message [2] — Epic sadface: Username and password do not match any user in this service","","Wed Mar 25 19:48:29 UTC 2026","passed","Wed Mar 25 19:48:30 UTC 2026","","Login Tests","com.automation.selenide.tests.LoginTest","invalidLoginShowsError"
"","1027","Standard user can login successfully","","Wed Mar 25 19:48:32 UTC 2026","passed","Wed Mar 25 19:48:33 UTC 2026","","Login Tests","com.automation.selenide.tests.LoginTest","standardUserCanLogin"
"","1160","Adding a product shows the remove button","","Wed Mar 25 19:48:23 UTC 2026","passed","Wed Mar 25 19:48:24 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","addingProductShowsRemoveButton"
"","1630","Back to products returns to inventory page","","Wed Mar 25 19:48:44 UTC 2026","passed","Wed Mar 25 19:48:46 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","backToProductsReturnsToInventory"
"","2557","Inventory page has correct title","","Wed Mar 25 19:48:17 UTC 2026","passed","Wed Mar 25 19:48:20 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","inventoryPageHasCorrectTitle"
"","1466","Valid info navigates to checkout overview","","Wed Mar 25 19:48:40 UTC 2026","passed","Wed Mar 25 19:48:42 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","validInfoNavigatesToOverview"
"","1156","Invalid login shows error message Invalid login shows error message [1] — Epic sadface: Sorry, this user has been locked out.","","Wed Mar 25 19:48:28 UTC 2026","passed","Wed Mar 25 19:48:29 UTC 2026","","Login Tests","com.automation.selenide.tests.LoginTest","invalidLoginShowsError"
"","1411","Incomplete form shows validation error Incomplete form shows validation error [2] — Error: Last Name is required","","Wed Mar 25 19:48:47 UTC 2026","passed","Wed Mar 25 19:48:49 UTC 2026","","Checkout Tests","com.automation.selenide.tests.CheckoutTest","incompleteFormShowsValidationError"
"","1549","User can logout successfully","","Wed Mar 25 19:48:26 UTC 2026","passed","Wed Mar 25 19:48:27 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","userCanLogout"
"","1121","Adding a product updates the cart badge","","Wed Mar 25 19:48:21 UTC 2026","passed","Wed Mar 25 19:48:23 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","addingProductUpdatesCartBadge"
"","1119","Removing a product empties the cart","","Wed Mar 25 19:48:34 UTC 2026","passed","Wed Mar 25 19:48:35 UTC 2026","","Cart Tests","com.automation.selenide.tests.CartTest","removingProductEmptiesCart"
"","1091","Inventory page displays all products","","Wed Mar 25 19:48:25 UTC 2026","passed","Wed Mar 25 19:48:26 UTC 2026","","Inventory Tests","com.automation.selenide.tests.InventoryTest","inventoryPageDisplaysAllProducts"
"","1190","Continue shopping returns to inventory page","","Wed Mar 25 19:48:35 UTC 2026","passed","Wed Mar 25 19:48:36 UTC 2026","","Cart Tests","com.automation.selenide.tests.CartTest","continueShoppingReturnsToInventory"
